KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days],nplanets
200.01,396.0,1.0543979853935854,21.552546702968584,7.340718013931264,2906.9243335167803,0
202.01,802.6983021332172,0.2548000662933445,53.56266650406428,1.720861160999924,1381.332332141636,0
203.01,4.048609458209237,0.2182490692586088,171.39342218085403,1.4857109600479954,6.015063445015439,0
204.01,11.095325191499464,0.5106842615882149,17.863442277334116,3.2467323955502856,36.02355173840649,0
208.01,2.1452223679367566,0.736972771991882,54.863464567401024,3.003875576612843,6.443981077448793,0
209.01,21.205839416058392,4.311039220482106,62.31990105587749,50.79039648325895,1077.0529917019262,1
209.02,9.03717069649946,10.381382988097078,386.9994250795535,18.795926988301595,169.86200059222253,1
212.01,3.865422072451559,0.8189317193155674,19.14451018775935,5.695901307619462,22.017062636977965,0
214.01,12.631328650863331,0.5803973690277688,38.610937704412095,3.311864208816683,41.833245268594986,0
217.01,2.472447664233796,0.3165357371458741,71.41356493207104,3.90508196005283,9.655110770774153,0
220.01,4.23725169209981,0.7740562707165576,11.499048652612828,2.422084418205412,10.262981299449466,1
222.01,9.557929804157345,4.029637533394709,30.109249607152208,6.312501627557142,60.33444744482015,1
222.02,14.995188071840053,29.353692172516222,381.500471948204,12.79485150487153,191.86120466681436,1
223.02,5.939966273187184,11.575894595626613,15.744867204661972,41.00813494873052,243.5869385217679,1
226.01,76.7887594242632,9.19540393764015,55.461789843721135,8.308677459647265,638.0130345826523,0
227.01,89.31966449207827,963.6473624545324,803767.4690152642,17.673480410128484,1578.589340639994,0
232.02,2.971925164958822,21.63575282316448,313.3174432416108,5.766198511082979,17.136710461235594,1
232.03,3.4023544854177774,44.96929479448109,187.41657420347207,21.58705298242264,73.44680654169689,1
232.04,48.82041587901701,124.984369508797,93.35144751435584,38.000923816611184,1855.2209045138004,1
232.05,24.4136460554371,54.14723150449469,68.89306266617552,56.25776881956143,1373.457255829378,1
238.01,2.155043470920908,9.142674798415475,26.719169183265933,17.232415139850616,37.13660373533368,1
238.02,9.973515591627509,77.48943432651426,58.36153634755203,26.695261541893476,266.2456072106488,1
241.01,11.769929364278507,5.687915659290191,13.017973169456042,13.821386805796696,162.67674642059805,1
244.01,25.384615384615383,1.4385239680947135,112.27617586390556,12.72037630224058,322.90185997995314,1
244.02,52.71896542510554,6.049185032013936,483.2554023725848,6.238528903534537,328.8887895689588,1
245.01,3.946959896507116,2.0454587207964017,56.45389287917951,39.79223093419513,157.05833968981807,1
245.02,5.021114159608731,28.78873533618442,399.365250865808,21.30174381057489,106.95848747163524,1
246.02,11.052788025159902,34.572863136170696,329.1999045049472,9.605003602862212,106.16206880333316,1
248.01,50.46808510638298,10.848060583257054,232.41375465883084,7.203857471393589,363.56489196054457,1
248.02,34.23762376237624,21.327191194109087,269.6822770291752,10.912679840342369,373.62422661291,1
248.03,8.065914168234954,6.1838726040251375,48.77418685489761,2.5765661776019297,20.782361637314384,1
248.04,11.34139096589163,16.500390161815822,60.96990425085619,18.59624614759555,210.9072980578372,1
250.01,59.12813171080887,9.68097176341325,279.6677022832077,12.282982100804018,726.2697834578479,1
250.02,42.29779797273681,8.496619529087212,77.18570772653015,17.251166727111247,729.6863650173508,1
251.01,2.923768867459903,1.79778290101161,16.99511704849283,4.164382056929447,12.17569061025895,1
253.02,40.12636415852958,69.59333364011728,149.70073625694397,20.61826109272364,827.3358529222709,1
254.01,6.457888933902902,0.1797547541851765,25.220786349026525,2.455240621295915,15.855671238335775,0
260.01,4.265756065058837,6.793995430655848,20.689582703798862,10.49566186740523,44.77193326769062,1
260.02,3.9037111334002006,9.931919312678946,35.27645089038064,100.28329478049618,391.4770143286772,1
260.03,3.8607686033680366,20.90215458367223,133.4375474897754,21.86954843568832,84.43326597034202,1
262.01,137.59945504087193,34.879505954087335,514.0434493414916,7.8128327287504655,1075.0415258015526,1
262.02,312.0,37.66883055571612,198.59094526035292,9.376646519582897,2925.513714109863,1
265.01,6.091931051711217,10.885684806859963,43.70960355861553,3.568100129551567,21.73661997483001,0
268.01,3.092198581560284,5.448002722486812,14.574326438855763,110.37847124675254,341.3121522240008,0
269.01,2.5446136393385403,25.061748576181547,182.63852567600247,18.01159380718275,45.83254726798281,0
270.01,2.610969332583589,20.05764722533592,67.57542022508812,12.582268506057565,32.85191720364864,1
270.02,5.6190112616911625,26.209598217679545,141.20838899436217,33.67219742916687,189.20445656037683,1
271.01,3.4336,7.963989613400667,21.411642802577887,48.63053881962555,166.9778180910663,1
271.02,24.656781987918727,11.0302172079025,55.623235135895925,29.393355568830103,724.7455601540207,1
